Unit,Battalion
16T,Battalion 3
18BR,Battalion 3
1SQ,Battalion 1
2T,Battalion 2
4SQ,Battalion 1
7SQ,Battalion 2
B1,Battalion 1
B2,Battalion 2
B3,Battalion 3
B4,Battalion 4
E1,Battalion 1
E10,Battalion 2
E11,Battalion 1
E12,Battalion 3
E13,Battalion 4
E14,Battalion 2
E15,Battalion 2
E16,Battalion 3
E17,Battalion 4
E18,Battalion 3
E2,Battalion 1
E3,Battalion 4
E4,Battalion 1
E5,Battalion 1
E6,Battalion 3
E8,Battalion 4
E9,Battalion 4
FD10,Battalion 4
FD20,Battalion 4
FD8,Battalion 1
HM13,Battalion 4
HM16,Battalion 3
L12,Battalion 3
L17,Battalion 4
L2,Battalion 1
L3,Battalion 4
L6,Battalion 3
MS1,Battalion 1
Q11,Battalion 1
Q19,Battalion 3
Q7,Battalion 2
R1,Battalion 1
SAF1,Battalion 1
T11,Battalion 1
T17,Battalion 4
T18,Battalion 3
E7,Battalion 2
